	cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12	cell13	cell14	cell15	cell16	cell17	cell18	cell19	cell20	cell21	cell22	cell23	cell24	cell25	cell26	cell27	cell28	cell29	cell30	cell31	cell32	cell33	cell34	cell35	cell36	cell37	cell38	cell39	cell40	cell41	cell42	cell43	cell44	cell45	cell46	cell47	cell48	cell49	cell50	cell51	cell52	cell53	cell54	cell55	cell56	cell57	cell58	cell59	cell60	cell61	cell62	cell63	cell64	cell65	cell66	cell67	cell68	cell69	cell70	cell71	cell72	cell73	cell74	cell75	cell76	cell77	cell78	cell79	cell80	cell81	cell82	cell83	cell84	cell85	cell86	cell87	cell88	cell89	cell90	cell91	cell92	cell93	cell94	cell95	cell96
gene1	24.15	23.12	285.53	6.48	107.13	0	0	5.32	8.78	42.81	0	267.2	2.84	183.59	0	13.18	0	73.43	277.92	60.43	17.52	29.77	2.23	63.07	11.22	5.29	44.78	26.72	18.81	0	172.34	128.91	0	145.1	19.13	3.91	8.32	1.99	49.34	0	56.94	100.27	0.76	17.62	8.87	93.83	49.24	0	93.07	223.85	0	46.84	49.86	228.08	185.22	144.02	0	131.49	0	10.25	1.72	52.11	5.03	27.47	124.46	6.41	0	46.65	3.89	99.03	67.07	0	621.38	12.97	0.81	13.16	5.84	14.58	1.66	213.52	0	60.65	114.07	23.75	0	19.44	16.54	58.78	0	2.09	1.58	0	0	38.01	94.42	0
gene2	2.41	4.51	2.24	341.51	14.9	0	16.81	115.37	2.17	7.99	154.39	16.66	12.02	85.46	7.42	114.66	85.79	9.91	238.8	181.07	9.79	24.25	8.48	0	517.65	10.29	129.25	172.88	4.88	44.28	10.38	3.83	11.39	7.12	87.28	0	67.53	1.29	6.54	77.06	6.29	8.43	5.2	5.32	3.24	22.49	9.79	20.35	123.51	13.62	28.02	6.33	5.17	29.29	42.95	8.77	11.57	20.43	3.81	12.07	149.71	9.52	19.2	15.3	24.11	16.01	61.37	10.16	4.12	157.26	22.19	1.03	1.21	12.97	233.36	14.52	12.79	2.75	73.2	17.1	15.78	65.68	3.47	12.16	0	0	10.99	92.97	121.45	8.78	184.43	2.85	36.87	15.8	5.37	471.12
gene3	205.12	498.06	8.81	659	104.71	109.41	374.67	394.18	242.1	0	219.07	539.03	725.3	664.75	742.72	326.22	474.96	247.84	623.31	195.02	262.84	216.31	165.85	128.77	478.77	683.54	142.05	327.6	312.86	543.55	45.27	319.73	322.34	386.92	71.68	723.29	62.39	179.46	133.68	111.33	7.1	288.02	41.96	354.17	782.19	313.27	332.58	17.22	24.13	69.95	132.75	376.92	165.4	76.63	122.83	392.08	62.71	222.17	226.72	329.79	384.23	63.17	114.1	8.08	327.2	525.88	237.83	343.49	1113.68	340.15	26.42	103.34	495.96	25.95	21.13	267.65	375.46	351.2	323.31	57.83	303.33	225.27	205.94	296.57	50.2	0	177.38	3.92	426.45	287.78	358.39	1415.74	1208.28	127.7	123.4	358.09
gene4	43.47	59.09	257.42	230.61	22.96	205.48	36.94	295.08	401.73	23.78	43.81	39.64	102.2	11.04	354.54	24.71	288.84	36.72	1.72	195.02	222.79	133.91	87.94	139.28	76.68	211.28	181.75	154.09	24.19	228.96	71.38	0	203.22	31.62	20.71	99.66	120.71	317.18	9.55	243.07	206.48	22.95	109.1	174.41	221.38	22.37	89.84	0	129.27	245.76	199.45	160.58	226.05	40.25	35.09	81.98	295.69	86.92	111.78	96.93	102.92	4.74	211.43	40.4	20.74	21.38	233.07	4.24	122.03	159.31	44.71	9.94	29.64	454.08	169.74	131.58	207.35	83.68	256.99	57.83	18.06	19.49	277.5	26.68	54.38	0	27.06	0	57.51	25.07	12.63	13.04	6.1	101.76	50.84	106.64
gene5	137.65	23.12	14.1	56.18	33.16	51.37	36.94	15.79	0	30.92	27.38	13.21	22.71	16.05	147.41	123.57	72.51	1.84	22.3	19.23	35.05	19.84	1.11	21.02	13.09	0	26.34	18.19	4.03	54.11	48.73	168.05	71.86	29.76	7.96	3.91	2.08	4.97	1.59	152.26	84.27	30.2	90.79	16.26	90.61	0	40.6	178.45	20.67	3.7	12.56	24.53	21.66	24.92	5.85	35.69	25.55	9.07	82.53	31.72	6.86	1.58	97.32	64.63	6.91	8.55	22.6	2.12	68.13	218.73	69.1	0.66	91.21	0	9.75	11.7	64.25	69.1	139.26	81.55	18.06	34.66	41.31	174.92	330.49	0	6.01	68.29	28.76	50.83	0	236.8	106.46	83.81	72.63	21.33
gene6	9.66	347.58	179.78	259.28	73.94	4.89	266.49	18.61	23.83	2.38	65.72	157.09	381.81	147.47	174.09	187.82	9.67	104.64	25.73	74.16	401.69	212.34	92.39	2.63	22.44	81.04	584.75	117.69	971.15	272.21	62.67	171.87	34.9	747.8	49.38	916.3	77.14	115.84	343.76	272.98	63.48	96.64	3.81	289.85	6.54	160.12	107.98	25.91	158.4	349.66	17.94	318.93	472.16	3.83	60.44	303.3	739.65	102.77	16.71	1.86	198.96	4.74	8.39	443.45	31.11	344.17	47.17	577.19	76.18	31.86	0	154.34	168.74	0	0	203.21	350.45	176.88	99.48	191.48	10.83	47.65	89.59	118.85	545.93	0	372.79	836.29	94.29	26.46	6.32	1757.95	168.23	173.6	103.07	6.4
gene7	1420.33	491.3	130.6	844.1	1550.62	226.08	1365.45	812.15	449.63	1196.2	57.23	442.22	896.68	1280.2	899.38	696.17	245.9	980.09	143.15	263.09	918.81	684.85	442.13	232.26	363.08	452	816.82	249.68	1220.35	1237.03	252.96	164.48	796.56	438.23	431.25	768.47	297	13.13	896.91	856.76	1308.01	436.19	376.75	194.98	652.09	1116.69	979.65	1102.99	420.92	720.99	1223.55	569.06	993.22	406.09	365.22	619.31	753.4	607.83	251.23	414.14	634.39	160.68	891.67	226.18	361.39	496.85	69.21	435.17	290.08	630.57	290.64	474.03	1609.48	1054.64	30.03	379.25	1048.8	679.19	1006	364.39	181.38	395.81	130.52	572.43	797.86	942.24	396.95	606.43	102.21	273.7	58.73	4.86	450.01	246.85	402.82	108.88
gene8	1217.04	2677.12	1436.29	881.96	877.44	1849.48	1652.44	616.74	1398.55	2708.93	1544.44	1083.49	1395.98	1169.82	1233.89	1146.72	1316.09	1441	895.38	705.92	921.19	720.37	1316.81	1074.84	1153.62	1153.96	406.95	673.41	1165.4	1480.76	1633.06	963.4	1564.47	2148.65	1073.62	1608.26	1599.38	3262.56	2321.97	916.64	1324.59	902.4	1147.44	2542.47	1713.44	1770.09	1354.33	2575.06	1630.51	1179.12	1270.41	1788.69	936.96	1390.28	1099.63	1732.63	1079.27	976.13	2529.69	1174.4	855.93	1454.47	1075.33	1538.08	1802.89	1321.1	1840.01	1011.39	608.53	1568.76	1215.33	1719.49	1655.06	1699.56	1215.89	791.21	1514.9	1490.91	819.06	1003.86	1709.37	1243.33	1112.9	1576.45	2066.59	19.44	1213.62	1356.28	514.99	1603.5	1034.11	2920.47	1882.48	1037.59	1387.28	1002.39
gene9	1229.14	625.6	682.08	898.83	1078.54	1226.79	873.34	776.24	628.46	1909.76	1314.42	778.12	1090.08	1311.5	733.5	537.11	1070.77	337.77	506.1	494.42	520.67	228.22	755.97	751.6	1268.02	357.63	579.47	436.88	262.06	1217.32	1016.5	282.63	757.6	745.79	1120.18	128.97	1214.62	776.08	720.94	1403.62	957.77	979.71	162.5	797.29	974.63	677.5	866.43	1194.39	760.1	590.16	735.51	799.56	346.58	1128.88	904.66	753.32	903.49	519.88	521.28	370.03	690.63	799.02	921.22	872.55	556.6	1180.01	670.25	118.74	905.47	1166.02	867.79	1505.02	834.58	51.9	1022.14	1334.82	683.37	643.1	1213.67	389.97	1605.1	857.38	680.51	652.14	989.37	97.22	557.69	710.35	1218.14	291.04	1483.89	685.99	808.24	327.24	572.27	701.67
gene10	0	0	10.58	227.28	0	0	97.62	61.14	2.51	0	49.29	14.68	4.26	205.66	0	3.3	0	33.04	6.86	35.71	72.59	0	0	0	123.43	0	43.46	67.95	0	183.33	0	0	10.27	332.98	347.25	0	68.65	241.62	23.87	0	0	2.42	7.63	4.4	26.15	0	139.94	6.26	91.35	11.1	0	0	0	0	0	88.63	67.36	3.02	87.75	0	80.62	26.85	45.31	8.08	38.03	68.41	0.98	0	17.91	2.58	52.84	13.25	233.73	90.82	5.69	0	0	69.84	0	129	0	0	63.23	35.27	167.34	0	66.14	77.6	10.46	0	461.02	303.08	142.63	63.85	196.11	147.16
gene11	0	133.75	307.88	0	61.22	2.45	29.02	0	0	14.27	16.43	0	0.71	1	35.58	11.19	18.13	0	18	63.18	7.51	48.36	13.1	0	0	1.76	7.24	0.33	16.11	15.67	60.53	42.01	129.35	2.36	4.72	0	16.64	3.46	0	2.83	21.64	10.52	17.94	15.08	127.04	51.65	11.32	9.39	2.12	27.75	387.3	28.95	2.31	82.41	1.95	2.22	25.55	16.64	37.61	62.45	19.83	4.56	28.53	1.62	3.46	59.86	0	8.5	0.03	452.22	0	0.66	0	0	39.82	248.54	18.98	9.51	177.99	17.93	3.39	64.98	1.75	100.19	0	466.65	16.85	1.73	5.23	2.07	34.75	0	0.86	25.64	130.74	2.11
gene12	184.25	46.77	77.83	156.02	16.66	41.78	124.56	234.84	144.94	58.53	111.73	91.52	177.91	201.59	151.05	180.94	91.06	26.09	55.36	42.85	44.66	79.3	23.06	215.78	5.48	69.69	98.6	87.12	124.69	52.04	74.01	34.07	61.92	106.12	97.93	42.29	101.7	114.51	43.72	4.64	29.85	165.9	87.91	42.01	125.95	108.79	61.13	93.38	78.99	135.76	16.68	54.84	122.13	42.09	69.33	59.98	38.21	43.51	30.38	32.28	103.28	19	69.84	50.54	40.71	50.62	23.73	23.56	3.67	12.68	39.3	33.13	68.52	0	66.26	78.79	83.84	30.65	15.1	34.74	124.36	54.61	4.17	166.07	18.83	120.16	80.87	77.53	113.35	200.63	154.09	33.18	12.3	73.55	72.56	67.22
gene13	49.79	24.92	64.17	26.9	45.35	18.07	34.93	34.48	30.72	80.48	28.7	64.85	27.35	40.46	23.08	39.84	23.37	30.27	29.44	20.68	38.6	43.4	13	45.91	38.47	51.9	19.62	18.01	49.99	57.15	26.27	7.71	27.1	38.88	7.58	16.49	14.85	15.78	22.6	39.36	29.84	10.91	21.03	19.68	36.14	50.32	19.62	62.98	36.9	20.39	63.72	22.97	23.37	21.87	21.52	16.26	15.49	15.67	93.75	5.53	56.91	64.05	40.17	42.19	36.92	49.42	14.31	65.01	15.27	60.11	108.14	8.5	21.33	0	42.76	23.23	15.24	38.87	68.16	24.38	72.17	37.56	13.1	41.05	84	91	20.32	24.62	24.29	11.21	60.83	18.79	34.32	20.19	30	20.05
gene14	553	7.71	225.6	274.42	298.43	42.81	47.49	45.19	257.16	208.69	60.24	271.61	298.07	0	172.81	100.5	205.43	95.46	116.66	142.83	210.27	33.74	113.54	110.38	14.96	211.41	80.34	174.72	96.76	358.83	116.64	179.51	217.63	133.93	442.83	76.21	192.57	203.83	130.5	458.31	121.86	57.99	97.65	229.06	17.28	160.12	144.26	75.14	81.01	131.35	87.9	182.88	256.05	28.75	175.47	310.81	434.33	55.92	82.53	157.52	181.82	26.85	164.44	268.11	126.18	38.48	74.69	29.68	432.55	135.2	154.45	40.41	258.15	25.95	13.82	248.54	303.72	361	79.77	111.21	110.14	158.12	51.2	229.63	150.6	174.99	84.18	203.77	112.41	0	130.63	0	484.78	109.75	203.37	277.26
gene15	75.34	0	5.31	32.41	0	31.8	81.69	15.95	1.77	128.43	0	69	5.78	113.36	0	8.24	18.13	0	32.6	0	52.57	43.66	22.26	21.02	48.62	1.76	93.51	10.92	86.01	249.13	0	0	96.48	1.86	7.96	9.77	12.48	273.64	50.94	0.89	0	0	6.1	0.03	0.93	0	28.51	0	99.16	0	12.63	0	149.43	0	35.02	121.86	0	7.8	23	0	18.87	73.21	13.42	37.2	0	17.1	87.47	21.37	0.39	82.89	85.42	0.76	12.54	0	0	17.62	35.04	14.58	51.4	108.23	145.27	45.49	26.18	83.5	0	0	79.67	8.4	7.84	5.68	1.55	41.82	0	0	602.85	2.13
gene16	4.06	80.78	53.25	161.64	79.48	6.53	11.9	89.67	13.94	77.15	4.27	184.91	56.25	21.19	71.25	146.6	88.27	12.15	32.25	76.22	31.79	62.17	39.87	88.3	63.77	8.23	13.13	6.33	7.07	15.65	28.36	138.42	91.63	112.62	19.37	366.68	61.73	134.43	137.66	183.6	5.96	52.77	168.1	361.1	15.51	89.68	161.73	184.81	48.23	5.61	40.49	50.87	19.08	130.56	66.93	13.54	101.99	174.87	136.53	52.6	35.63	31.27	120.01	45.92	91.92	137.3	64.25	47.2	46.9	79.24	134.03	120.86	120.67	12.97	35.24	16.49	38.84	141.93	123.49	69.14	130.85	74.08	44.36	236.91	141.38	0	20.38	28.24	51.92	2.82	32.3	203.96	11.88	59.2	123.48	23.8
gene17	729.7	720.69	472.36	1041.72	522.89	380.27	675.48	207.35	602.08	104.64	506.6	124.79	449.57	1027.32	1033.11	543.64	366.19	503.05	914.56	598.8	901.16	341.33	1134.78	397.77	1268.85	424.56	280.52	589.68	358.78	680.05	334.27	624.45	494.8	50.23	686.56	809.02	756.85	46.24	672.97	246.15	1097.62	460.26	1221.57	77.53	723.9	366.72	1155.82	823.39	310.26	290.45	191.96	615.56	488.31	239.96	526.42	848.5	536.52	770.8	112.82	466.03	841.83	1034.38	349.02	513.83	219.53	549.39	434.38	686.96	1476.73	741.45	863.72	578.95	843.33	4800.29	734.61	690.07	294.96	499.54	485.8	96.38	439.8	909.75	673.17	904.12	2350.35	58.33	966.56	598.52	724.12	1011.68	994.97	1328.62	386.85	945.81	1162.12	599.83
